iter	Passed	Remaining
0	10	106572
1	17	88990
2	26	87313
3	33	82845
4	39	79775
5	46	78035
6	53	76542
7	60	75221
8	67	74557
9	73	73857
10	80	73082
11	87	72648
12	93	72148
13	100	71691
14	107	71361
15	114	71165
16	120	70990
17	128	71240
18	135	70996
19	141	70551
20	147	70282
21	154	70034
22	160	69814
23	167	69683
24	174	69623
25	181	69501
26	187	69366
27	194	69267
28	201	69234
29	208	69177
30	214	69079
31	221	69085
32	228	69128
33	235	69120
34	243	69196
35	250	69211
36	257	69303
37	264	69221
38	271	69235
39	278	69229
40	285	69238
41	291	69165
42	298	69163
43	305	69235
44	312	69148
45	319	69232
46	327	69309
47	334	69397
48	342	69481
49	349	69581
50	356	69611
51	363	69564
52	370	69477
53	377	69437
54	384	69440
55	390	69429
56	398	69453
57	404	69407
58	412	69435
59	419	69432
60	426	69416
61	433	69419
62	440	69433
63	447	69440
64	454	69460
65	461	69459
66	468	69425
67	475	69410
68	482	69381
69	489	69472
70	496	69457
71	503	69434
72	510	69379
73	517	69348
74	523	69304
75	530	69270
76	536	69193
77	543	69161
78	550	69110
79	556	69060
80	563	69011
81	570	68970
82	576	68940
83	583	68889
84	590	68827
85	596	68762
86	603	68709
87	610	68740
88	616	68687
89	623	68650
90	630	68677
91	637	68635
92	643	68583
93	650	68554
94	657	68506
95	663	68481
96	670	68467
97	677	68455
98	684	68424
99	691	68443
100	698	68417
101	705	68460
102	712	68480
103	719	68437
104	726	68437
105	732	68416
106	739	68418
107	747	68439
108	754	68427
109	760	68419
110	767	68388
111	775	68445
112	782	68459
113	789	68457
114	796	68428
115	802	68387
116	809	68377
117	816	68392
118	824	68423
119	831	68442
120	838	68468
121	845	68479
122	853	68553
123	861	68595
124	868	68600
125	875	68622
126	883	68664
127	890	68714
128	898	68749
129	905	68739
130	912	68778
131	920	68815
132	928	68879
133	936	68951
134	944	69032
135	951	69039
136	959	69075
137	967	69138
138	976	69261
139	984	69306
140	992	69364
141	1000	69463
142	1008	69500
143	1015	69511
144	1023	69529
145	1031	69602
146	1039	69690
147	1047	69747
148	1056	69819
149	1065	69943
150	1073	70013
151	1080	70028
152	1087	70000
153	1094	69998
154	1101	69993
155	1109	69999
156	1116	70015
157	1123	69981
158	1130	69981
159	1137	69958
160	1144	69943
161	1151	69930
162	1159	69956
163	1166	69955
164	1173	69958
165	1180	69938
166	1187	69924
167	1194	69902
168	1200	69858
169	1207	69806
170	1213	69768
171	1220	69718
172	1227	69703
173	1233	69685
174	1240	69643
175	1247	69624
176	1253	69581
177	1260	69577
178	1267	69550
179	1274	69543
180	1281	69525
181	1288	69498
182	1294	69456
183	1301	69439
184	1308	69425
185	1315	69401
186	1322	69400
187	1329	69373
188	1336	69367
189	1343	69352
190	1350	69331
191	1357	69328
192	1364	69319
193	1371	69334
194	1378	69312
195	1385	69297
196	1392	69277
197	1399	69270
198	1406	69259
199	1413	69238
200	1419	69211
201	1426	69198
202	1433	69188
203	1440	69156
204	1447	69155
205	1453	69125
206	1460	69089
207	1467	69067
208	1473	69028
209	1479	68994
210	1486	68966
211	1493	68946
212	1500	68926
213	1507	68920
214	1513	68893
215	1520	68871
216	1526	68837
217	1533	68831
218	1540	68800
219	1547	68785
220	1553	68759
221	1560	68743
222	1567	68710
223	1573	68690
224	1580	68669
225	1587	68667
226	1595	68676
227	1602	68674
228	1609	68655
229	1616	68669
230	1623	68637
231	1630	68630
232	1637	68621
233	1644	68617
234	1651	68611
235	1658	68604
236	1665	68592
237	1672	68580
238	1678	68568
239	1685	68562
240	1692	68554
241	1700	68555
242	1707	68542
243	1713	68529
244	1721	68526
245	1728	68526
246	1735	68531
247	1742	68524
248	1749	68523
249	1756	68502
250	1763	68496
251	1770	68495
252	1777	68491
253	1784	68476
254	1791	68451
255	1798	68437
256	1805	68430
257	1812	68432
258	1819	68418
259	1826	68417
260	1833	68407
261	1840	68394
262	1846	68375
263	1854	68378
264	1860	68359
265	1868	68358
266	1875	68352
267	1882	68349
268	1888	68329
269	1896	68329
270	1903	68328
271	1910	68316
272	1917	68303
273	1924	68308
274	1931	68314
275	1938	68300
276	1945	68285
277	1952	68286
278	1959	68273
279	1966	68273
280	1973	68268
281	1980	68245
282	1987	68239
283	1994	68224
284	2001	68220
285	2008	68207
286	2014	68186
287	2021	68177
288	2028	68160
289	2035	68158
290	2042	68148
291	2049	68141
292	2056	68142
293	2064	68140
294	2070	68129
295	2077	68120
296	2085	68118
297	2092	68112
298	2099	68110
299	2106	68111
300	2113	68106
301	2120	68099
302	2127	68089
303	2134	68076
304	2141	68077
305	2148	68076
306	2155	68071
307	2163	68065
308	2169	68049
309	2176	68028
310	2183	68018
311	2190	68012
312	2197	68011
313	2204	68007
314	2211	68002
315	2218	68000
316	2225	67988
317	2232	67976
318	2239	67973
319	2246	67953
320	2253	67939
321	2260	67935
322	2267	67925
323	2273	67907
324	2280	67895
325	2287	67881
326	2294	67867
327	2301	67858
328	2308	67847
329	2314	67832
330	2321	67808
331	2328	67804
332	2335	67802
333	2342	67783
334	2349	67778
335	2356	67772
336	2363	67771
337	2370	67759
338	2377	67762
339	2384	67753
340	2391	67746
341	2398	67743
342	2405	67733
343	2412	67726
